Name,ISO3166-1-Alpha-2,Type,Tags,Color,Yield,Source,Date
Munich,BE,Grain,basemalt,6,38,Brewer's Friend,2016-08-23
Pale Ale,BE,Grain,basemalt,3.4,38,Brewer's Friend,2016-08-23
Pilsner,BE,Grain,basemalt,1.6,37,Brewer's Friend,2016-08-23
Wheat,BE,Grain,basemalt,1.8,38,Brewer's Friend,2016-08-23
ESB Malt,CA,Grain,basemalt,3.5,36,Brewer's Friend,2016-08-23
Honey Malt,CA,Grain,basemalt,25,37,Brewer's Friend,2016-08-23
Munich Dark,CA,Grain,basemalt,32,34,Brewer's Friend,2016-08-23
Munich Light,CA,Grain,basemalt,10,34,Brewer's Friend,2016-08-23
Pale 2-Row,CA,Grain,basemalt,1.75,36,Brewer's Friend,2016-08-23
Pale Wheat,CA,Grain,basemalt,2,36,Brewer's Friend,2016-08-23
Abbey Malt,DE,Grain,basemalt,17,33,Brewer's Friend,2016-08-23
Bohemian Pilsner,DE,Grain,basemalt,1.9,38,Brewer's Friend,2016-08-23
Dark Munich,DE,Grain,basemalt,10,36,Brewer's Friend,2016-08-23
Dark Wheat,DE,Grain,basemalt,6.5,39,Brewer's Friend,2016-08-23
Floor-Malted Bohemian Pilsner,DE,Grain,basemalt,1.8,38,Brewer's Friend,2016-08-23
Floor-Malted Bohemian Pilsner Dk,DE,Grain,basemalt,6.5,38,Brewer's Friend,2016-08-23
Floor-Malted Bohemian Wheat,DE,Grain,basemalt,2,38,Brewer's Friend,2016-08-23
Kölsch,DE,Grain,basemalt,4.4,37,Brewer's Friend,2016-08-23
Munich Dark,DE,Grain,basemalt,15.5,37,Brewer's Friend,2016-08-23
Munich Light,DE,Grain,basemalt,6,37,Brewer's Friend,2016-08-23
Pale Ale,DE,Grain,basemalt,2.3,39,Brewer's Friend,2016-08-23
Pale Wheat,DE,Grain,basemalt,1.5,39,Brewer's Friend,2016-08-23
Pilsner,DE,Grain,basemalt,1.6,38,Brewer's Friend,2016-08-23
Red X,DE,Grain,basemalt,12,36,Brewer's Friend,2016-08-23
Rye,DE,Grain,basemalt,3.5,38,Brewer's Friend,2016-08-23
Smoked Malt,DE,Grain,basemalt,3,37,Brewer's Friend,2016-08-23
Spelt Malt,DE,Grain,basemalt,2,37,Brewer's Friend,2016-08-23
Vienna,DE,Grain,basemalt,4,37,Brewer's Friend,2016-08-23
Wheat Malt,DE,Grain,basemalt,2,37,Brewer's Friend,2016-08-23
Enzyme Malt,FI,Grain,basemalt,0,35,Brewer's Friend,2016-08-23
Munich Malt,FI,Grain,basemalt,7,36,Brewer's Friend,2016-08-23
Organic Pilsner Malt,FI,Grain,basemalt,2,36,Brewer's Friend,2016-08-23
Pale Ale Malt,FI,Grain,basemalt,2,36,Brewer's Friend,2016-08-23
Pilsner Malt,FI,Grain,basemalt,2,37,Brewer's Friend,2016-08-23
Vienna Malt,FI,Grain,basemalt,3,36,Brewer's Friend,2016-08-23
Wheat Malt,FI,Grain,basemalt,2,38,Brewer's Friend,2016-08-23
Ale Malt,IE,Grain,basemalt,3,37,Brewer's Friend,2016-08-23
Distillers Malt,IE,Grain,basemalt,2,37,Brewer's Friend,2016-08-23
Lager Malt,IE,Grain,basemalt,2,37,Brewer's Friend,2016-08-23
Stout Malt,IE,Grain,basemalt,2,37,Brewer's Friend,2016-08-23
Amber,UK,Grain,basemalt,27,32,Brewer's Friend,2016-08-23
Golden Promise,UK,Grain,basemalt,3,37,Brewer's Friend,2016-08-23
Halcyon,UK,Grain,basemalt,2,36,Brewer's Friend,2016-08-23
Lager,UK,Grain,basemalt,1.4,38,Brewer's Friend,2016-08-23
Malted Naked Oats,UK,Grain,basemalt,1.3,33,Brewer's Friend,2016-08-23
Maris Otter Pale,UK,Grain,basemalt,3.75,38,Brewer's Friend,2016-08-23
Mild,UK,Grain,basemalt,3,37,Brewer's Friend,2016-08-23
Munich,UK,Grain,basemalt,6,37,Brewer's Friend,2016-08-23
Oat Malt,UK,Grain,basemalt,2,28,Brewer's Friend,2016-08-23
Optic,UK,Grain,basemalt,2.1,38,Brewer's Friend,2016-08-23
Pale 2-Row,UK,Grain,basemalt,2.5,38,Brewer's Friend,2016-08-23
Pearl,UK,Grain,basemalt,2.1,37,Brewer's Friend,2016-08-23
Peated Malt,UK,Grain,basemalt,2.5,38,Brewer's Friend,2016-08-23
Pilsen,UK,Grain,basemalt,1.8,36,Brewer's Friend,2016-08-23
Wheat,UK,Grain,basemalt,2,37,Brewer's Friend,2016-08-23
Aromatic Malt,US,Grain,basemalt,20,35,Brewer's Friend,2016-08-23
Ashbourne Mild,US,Grain,basemalt,5.3,30,Brewer's Friend,2016-08-23
Bonlander Munich,US,Grain,basemalt,10,36,Brewer's Friend,2016-08-23
Munich - 60L,US,Grain,basemalt,60,33,Brewer's Friend,2016-08-23
Munich - Dark 20L,US,Grain,basemalt,20,33,Brewer's Friend,2016-08-23
Munich - Light 10L,US,Grain,basemalt,10,33,Brewer's Friend,2016-08-23
Pale 2-Row,US,Grain,basemalt,1.8,37,Brewer's Friend,2016-08-23
Pale 2-Row - Toasted,US,Grain,basemalt,30,33,Brewer's Friend,2016-08-23
