Name,ISO3166-1-Alpha-2,Average-Alpha-Acids,Tags,Source,Date
Centennial,,9.5,aroma,Brewer’s Friend,2016-08-23
Citra,,11.7,aroma,Brewer’s Friend,2016-08-23
Crystal,,4.1,aroma,Brewer’s Friend,2016-08-23
Falconer's Flight,,10.4,aroma,Brewer’s Friend,2016-08-23
Lublin,,3.3,aroma,Brewer’s Friend,2016-08-23
Palisade,,7.5,aroma,Brewer’s Friend,2016-08-23
Strisselspalt,,3.1,aroma,Brewer’s Friend,2016-08-23
Yamhill Goldings,,4,aroma,Brewer’s Friend,2016-08-23
Admiral,,13.5,bittering,Brewer’s Friend,2016-08-23
Ahtanum,,5.4,bittering,Brewer’s Friend,2016-08-23
Amarillo,,8.9,bittering,Brewer’s Friend,2016-08-23
Apollo,,18.7,bittering,Brewer’s Friend,2016-08-23
Aurora,,8.2,bittering,Brewer’s Friend,2016-08-23
B. C. Goldings,,5.1,bittering,Brewer’s Friend,2016-08-23
Banner,,13.1,bittering,Brewer’s Friend,2016-08-23
Bramling Cross,,6.6,bittering,Brewer’s Friend,2016-08-23
Bravo,,14.9,bittering,Brewer’s Friend,2016-08-23
Brewer's Gold,,8.9,bittering,Brewer’s Friend,2016-08-23
Bullion,,7.6,bittering,Brewer’s Friend,2016-08-23
Calypso,,13.5,bittering,Brewer’s Friend,2016-08-23
Cascade,,6.8,bittering,Brewer’s Friend,2016-08-23
Challenger,,8,bittering,Brewer’s Friend,2016-08-23
chinook,,12.6,bittering,Brewer’s Friend,2016-08-23
Cluster,,6.7,bittering,Brewer’s Friend,2016-08-23
Columbia,,9.4,bittering,Brewer’s Friend,2016-08-23
Columbus,,14.6,bittering,Brewer’s Friend,2016-08-23
Comet,,10.9,bittering,Brewer’s Friend,2016-08-23
Domestic Hallertau,,4.2,bittering,Brewer’s Friend,2016-08-23
East Kent Goldings,,5.2,bittering,Brewer’s Friend,2016-08-23
Eroica,,12,bittering,Brewer’s Friend,2016-08-23
First Gold,,7.4,bittering,Brewer’s Friend,2016-08-23
Fuggles,,4.6,bittering,Brewer’s Friend,2016-08-23
Galena,,12.9,bittering,Brewer’s Friend,2016-08-23
Glacier,,5.6,bittering,Brewer’s Friend,2016-08-23
Goldings,,4.8,bittering,Brewer’s Friend,2016-08-23
Hallertau Hersbrucker,,4,bittering,Brewer’s Friend,2016-08-23
Hallertau Mittelfruh,,4.1,bittering,Brewer’s Friend,2016-08-23
Hersbrucker,,3.6,bittering,Brewer’s Friend,2016-08-23
Horizon,,12.1,bittering,Brewer’s Friend,2016-08-23
Huller Bitterer,,5.8,bittering,Brewer’s Friend,2016-08-23
Kent Goldings,,5.2,bittering,Brewer’s Friend,2016-08-23
Liberty,,4.3,bittering,Brewer’s Friend,2016-08-23
Magnum,,14.4,bittering,Brewer’s Friend,2016-08-23
Millenium,,15.4,bittering,Brewer’s Friend,2016-08-23
Motueka,,7.1,bittering,Brewer’s Friend,2016-08-23
Mount Hood,,5.2,bittering,Brewer’s Friend,2016-08-23
Mount Rainier,,6.6,bittering,Brewer’s Friend,2016-08-23
Nelson Sauvin,,12,bittering,Brewer’s Friend,2016-08-23
Newport,,14.1,bittering,Brewer’s Friend,2016-08-23
Northdown,,7.9,bittering,Brewer’s Friend,2016-08-23
Northern Brewer,,8.4,bittering,Brewer’s Friend,2016-08-23
Nugget,,13.4,bittering,Brewer’s Friend,2016-08-23
