Short_Name,Full_Name,ISO3166-1-Alpha-2,URI
Castle Malting,Castle Malting,BE,http://www.castlemalting.com
Dingemans,Mouterij Dingemans NV,BE,http://www.dingemansmout.be
Agrária,Agrária Maltes,BR,http://www.agraria.com.br
Prozyn,Prozyn Bio Solutions,BR,http://www.prozyn.com.br
Canada Malting,Canada Malting Co. Limited,CA,http://www.canadamalting.com
Gambrinus,Gambrinus Malting Corporation,CA,http://www.gambrinusmalting.com
Great Western,Great Western Malting Co.,CA,http://www.greatwesternmalting.com
Maltexco,Maltexco S.A.,CL,http://www.maltexco.com
BESTMALZ,BESTMALZ AG,DE,http://www.bestmalz.de
Schill Malz,Schill Malz GmbH & Co. KG,DE,http://www.schillmalz.com
Weyermann,Weyermann Malzfabrik,DE,http://www.weyermann.de
Crisp,Crisp Malting Group,GB,http://www.crispmalt.co
Muntons,Muntons Malted Ingredients Inc.,GB,http://www.muntons-inc.com
Simpsons Malt,Simpsons Malt Limited,GB,http://www.simpsonsmalt.co.uk
Malting Company,Malting Company of Ireland Ltd.,IE,http://www.maltingcompany.ie
The Swaen,The Swaen,NL,http://theswaen.com
Briess,Briess Malt & Ingredients Co.,US,http://www.briess.com
Cargill,Cargill Inc.,US,http://www.cargill.com
Pioneer,Pioneer Malting Inc.,US,http://pioneermalting.com
Queen City, Queen City Malting,US,http://www.queencitymalting.com
Rahr,Rahr Malting Corporation,US,http://www.rahr.com
Skagit,Skagit Valley Malting,US,http://skagitvalleymalting.com
